timestamp,title,source,prediction,confidence,score,url
2026-05-31 09:45:17,Hundreds arrested in France after wild Champions League celebrations,BBC News,FAKE,61.87,62.88,https://www.bbc.com/news/articles/cg7pk5j7nyjo?at_medium=RSS&at_campaign=rss
2026-05-31 09:45:17,How Putin became master of the image,BBC News,FAKE,88.58,46.85,https://www.bbc.com/news/articles/cddpl33v247o?at_medium=RSS&at_campaign=rss
2026-05-31 09:45:19,PSG to face Aston Villa in 2026 UEFA Super Cup August 12,Punch Nigeria,FAKE,89.2,46.48,https://punchng.com/psg-to-face-aston-villa-in-2026-uefa-super-cup-august-12/?utm_source=rss.punchng.com&utm_medium=web
2026-05-31 09:45:19,Police arrest security guard for stealing motor spare parts in Ogun,Punch Nigeria,FAKE,80.27,51.84,https://punchng.com/police-arrest-security-guard-for-stealing-motor-spare-parts-in-ogun/?utm_source=rss.punchng.com&utm_medium=web
2026-05-31 09:45:21,Hundreds Arrested As Clashes Errupt In Paris On PSG Victory Night,Channels TV,FAKE,67.67,59.4,https://www.channelstv.com/2026/05/31/hundreds-arrested-as-clashes-errupt-in-paris-on-psg-victory-night/
2026-05-31 10:07:23,Hundreds arrested in France after wild Champions League celebrations,BBC News,FAKE,61.87,62.88,https://www.bbc.com/news/articles/cg7pk5j7nyjo?at_medium=RSS&at_campaign=rss
2026-05-31 10:07:23,How Putin became master of the image,BBC News,FAKE,88.58,46.85,https://www.bbc.com/news/articles/cddpl33v247o?at_medium=RSS&at_campaign=rss
2026-05-31 10:07:25,PSG to face Aston Villa in 2026 UEFA Super Cup August 12,Punch Nigeria,FAKE,89.2,46.48,https://punchng.com/psg-to-face-aston-villa-in-2026-uefa-super-cup-august-12/?utm_source=rss.punchng.com&utm_medium=web
2026-05-31 10:07:25,Police arrest security guard for stealing motor spare parts in Ogun,Punch Nigeria,FAKE,80.27,51.84,https://punchng.com/police-arrest-security-guard-for-stealing-motor-spare-parts-in-ogun/?utm_source=rss.punchng.com&utm_medium=web
2026-05-31 10:07:26,"Lagos Police dismiss viral video of armed Fulani men in Ikorodu as old, misleading",Vanguard Nigeria,FAKE,66.1,51.34,https://www.vanguardngr.com/2026/05/lagos-police-dismiss-viral-video-of-armed-fulani-men-in-ikorodu-as-old-misleading/
2026-05-31 10:07:26,Hundreds Arrested As Clashes Erupt In Paris On PSG Victory Night,Channels TV,FAKE,64.46,61.32,https://www.channelstv.com/2026/05/31/hundreds-arrested-as-clashes-errupt-in-paris-on-psg-victory-night/
2026-05-31 10:07:31,Haberman reveals why Trump attacked judge and his family in speech,CNN,FAKE,50.04,69.98,https://www.cnn.com/videos/politics/2023/04/05/maggie-haberman-donald-trump-speech-indictment-reaction-sot-cnntm-vpx.cnn
2026-05-31 10:07:31,What to know about the Trump indictment on the eve of his court appearance,CNN,FAKE,72.17,56.7,https://www.cnn.com/collections/intl-trump-040223/
2026-05-31 10:07:31,READ: Trump indictment related to hush money payment,CNN,FAKE,91.92,44.85,https://cnn.it/411KYN7
2026-05-31 10:07:31,Russian authorities detain suspect over St. Petersburg cafe blast,CNN,FAKE,75.74,54.56,https://edition.cnn.com/webview/europe/live-news/russia-ukraine-war-news-04-03-23/index.html
2026-05-31 10:07:32,Dormitory fire at Kenyan girls’ school kills at least 16 students,Guardian,FAKE,88.8,46.72,https://www.theguardian.com/world/2026/may/28/dormitory-fire-at-kenya-school-students-utumishi-girls-academy-gilgil
2026-05-31 10:07:32,US building Ebola quarantine center in Kenya for Americans amid outbreak,Guardian,FAKE,84.76,49.14,https://www.theguardian.com/us-news/2026/may/27/trump-administration-ebola-quarantine-kenya
